	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 18:25:13 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       4  1726827  5759634  8272256  9081201  6801738  4367238  8480511   7024216   6861502  4922872  5424983 11601703  8920873
            4096       8  1745956  6941906 12160107  9524234  9503161  5389246 12487133   9891647   9751284  5611025  6916752 15396828 11809047
            4096      16  1843372  7149920 15692162  9394037 11809047  5961494 16318176  12049235  11841605  5835938  7545601 18280235 13166611
            4096      32  1752724  6989921 18616995  9658092 13381985  5867831 19504720  11841605  13604523  6430059  7788478 20074497 14475721
            4096      64  1839227  7969117 20703484  9614850 14427096  5883908 20287852  12880338  14736477  6542703  8081580 22144551 15165768
            4096     128  1770973  7161842 21669709  9897345 14524675  6693092 22375282  12560167  15179168  5520868  6817934 22002745 15059417
            4096     256  1738535  6389405  9023961  6490793  9891647  3653887 20287852   9312562  17131802  5367357  7001316 20481345 13381985
            4096     512  1805972  6490793 17516078  9571993 13604523  5835938 18456987   8447153  14586335  5753847  6500617 20074497 14026607
            4096    1024  1748265  6748303 15635038  9891647 13969580  5885924 20287852   7770863  15112405  6370451  7969117 20097981 14366773
            4096    2048  1800295  7015611 12487133 11222762 13935585  5978090 19416544   7342434  16929220  6272759  9966244 19683498 14463534
            4096    4096  1795028  7274040  9414629 14954547 14427096  6166930 18536646   6408472  18883009  6439700  8712759 19050521 13746032
            8192       4  1707756  5364680  7663074  9002223  6692839  4383287  7855798   7061469   6596471  4625203  5422249 10781874  8725605
            8192       8  1781607  6014511 11269901  9416708  9603578  5411147 12356037   9834473   9536939  5630154  6336155 14979358 11687758
            8192      16  1837634  6281710 14347610  9383277 11656039  5846669 15058135  11873547  11620560  5897851  6286308 16064918 12922997
            8192      32  1838028  6725591 17241890  9536939 13165630  6177802 17577060  12722032  12338289  6262248  6820377 18870623 14031222
            8192      64  1816744  7001038 18912170  9649428 14199379  6379683 19283661  13323895  14100319  6445505  6781341 18788074 14293891
            8192     128  1685887  6132595 18706245  9427042 13951461  6350207 19090804  11703682  14071446  5801260  6036702 19647544 15091203
            8192     256  1770499  5389927 18405631  9227049 14323685  5784656 19143987   8904241  14395699  5757516  6094523 18880992 14578944
            8192     512  1790240  5838720 18327093  9460786 14425919  5497729 19414412   8242105  14347610  5676663  5984134 19229700 14498968
            8192    1024  1797263  5863631 17505420  9879717 14100319  5843686 19186748   7823601  14450187  5701152  6108608 18964361 14628599
            8192    2048  1815113  5776876 15198005 10214543 14252388  6028229 17496506   7728574  14894942  5781736  6238371 18124082 14474536
            8192    4096  1847615  6163396 12154969 10978233 13861408  6040947 18124082   7142200  16544512  6234975  9071145 18162403 14548080
            8192    8192  1874119  5696426  9286903 14760569 14603729  6263389 17028269   6445505  16961023  6460047  6804170 16224216 14395699
