	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:44:25 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       8  1808444  5980170 11973655  9348033  8811067  5319164 12308209   9729195   9685316  5625724  3954116 14838300 11378861
            4096      16  1859131  7286380 15165768  9440496 11500738  5751920 16318176  11907264  11704457  5800471  6410863 18378010 12919082
            4096      32  1805213  7969117 19329161  9897345 12015527  6281934 19307438  13299112  13007113  6198078  8224733 19050521 13381985
            4096      64  1826129  7073381 20579482  9897345 14271297  6408472 12299398   6420447  10528134  3992713  7529067 21918530 14427096
            4096     128  1792593  4153935 15287223  8409937 12264277  6005255 19888580  11874344  12334720  4958393  5603704 21214804 12007129
            4096     256  1659761  6198078 18698043  9042961 12569357  5728903 19888580   8463799  15692162  5506711  6661947 14723847 10612681
            4096     512  1790165  6389405 17974227  9414629 13086376  5153230 20579482   8514134  14427096  5461198  6894546 20905025 12718238
            4096    1024  1785514  6261328 14271297  9163546 12756011  5634950 19888580   7476641  13299112  6342230  7421732 20481345 12803544
            4096    2048  1723189  5910222 12370246 10344298 12958059  5885924 19593701   7012747  15396828  6158088  9545402 19593701 12880338
            4096    4096  1888560  8712759  9368423 13890515 13746032  6311938 19504720   5818150  19221033  6103394  8660056 19156735 13924290
            8192       4  1695035  5361332  8086916  8480105  6585093  4413692  7930135   6912307   6455193  4390568  5447177 10738070  8265899
            8192       8  1785124  6192276 11869445  8856046  9234488  5446314 11636301   9023500   9204802  5516264  6827153 14785977 11145606
            8192      16  1038158  5830794 15231692  9526362 11207409  5494212 15117763  11393220  11378128  5966469  7287625 17320112 12545518
            8192      32  1882745  6884607 18405631  9812005 13025879  5797345 18494796  11869445  13085407  6196743  7685357 19978849 14077211
            8192      64  1850500  5880691 13657548  9450378 13934487  6538726 20131019  12120667  13839076  5911041  6995337 20688596 14246478
            8192     128  1754945  6569983 19458391  9471217 13001235  6277120 19502569  10343693  13811262  5201445  6506533 21612539 14603729
            8192     256  1817225  6215800 19502569  9660279 14170099  6036702 20333543   8856046  14395699  5091986  5893805 20430266 14425919
            8192     512  1800371  5806161 18736847  9916786 14603729  5867636 12527222   5692651  10922396  4641448  6277120 20225820 14572760
            8192    1024  1826110  6628284 17320112  9968574 14123502  5830794 19370632   7823601  14450187  5558204  6340832 19692587 14572760
            8192    2048  1846225  6192276 15171163 10396901 14270145  6036702 17888190   7978009  14837055  6132595  7243074 18249221 14293891
            8192    4096  1845431  6229323 12450057 11453987 14199379  6136976 18162403   6877717  16324422  6158977  9204802 18076407 14548080
            8192    8192  1889267  6253130  9625100 14293891 14474536  5843686 15485690   6326821  15513658  6410631  7038325 15313152 14299840
           16384       4  1660660  4718834  7211005  8692280  6624965  4209770  7145026   7043957   6503950  4725649  4963556  9677701  8484089
           16384       8  1729888  5391113 10757915  9379186  9497142  5347483 10937705   9717387   9524785  5387732  5811959 13117393 10700958
           16384      16  1851288  5864034 13341500  9559234 11442174  6008099 13519988  11922587  11183344  5744428  6052550 15254703 12859651
           16384      32  1857995  5698696 15665037  9277883 13107385  6203347 16288846  12912812  13160098  6206148  5793340 16889348 13942419
           16384      64  1851687  5977266 17103733  9324462 14111338  6070193 17675645  13032810  14245904  6041375  6171037 17868681 14640460
           16384     128  1740358  5161907 14868534  8977298 13300185  6161631 18061231  11871097  14160772  5393229  5527714 17730371 14073768
           16384     256  1768758  5392805 16531799  9421621 13945248  6025484 17522407   9047029  14002077  5457475  5335029 17193599 14122938
           16384     512  1771220  5446662 16943483  9666810 14184155  5643936 17693850   8599818  14359019  5237842  5479233 17065505 14198809
           16384    1024  1804996  5459210 16464464  9845471 14498374  5470509 17120778   8204521  14359019  5485356  5473995 17358638 13919826
           16384    2048  1773323  6082012 15471067  9997296 14269570  6012304 16889348   8159708  14920185  5797250  5817863 16515906 14434421
           16384    4096  1822468  4978660 12311334  9764332 13678768  5702479 16124497   7624648  14788541  5726715  6313919 15845643 14386073
           16384    8192  1847108  5785049 11854714 11515032 14222317  5857536 14627994   7249038  14111338  6124836  8287637 14734635 14016357
