	Iozone: Performance Test of File I/O
	        Version $Revision: 3.489 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer,
	             Vangel Bojaxhi, Ben England, Vikentsi Lapa,
	             Alexey Skidanov, Sudhir Kumar.

	Run began: Wed Dec 28 15:24:48 2022

	Auto Mode
	Command line used: iozone -a
	Output is in kBytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 kBytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                              random    random     bkwd    record    stride                                    
              kB  reclen    write  rewrite    read    reread    read     write     read   rewrite      read   fwrite frewrite    fread  freread
            4096       4  1705908  5217395  8308260  8569343  6512939  4358375  8497289   6916752   6575257  4864330  5728903 11378861  8480511
            4096       8  1682848  6112079 12185983  9207748  9545402  5409609 11601703   9707206   9614850  5527974  7099689 15059417 11099499
            4096      16  1830214  6930704 15999048  9440496 11371329  5910222 15635038  12151506  11439475  5589120  8142867 18280235 12450933
            4096      32  1798787  6748303 19050521  9729195 12841826  6216019 18800352  13258059  12958059  6075335  7286380  6872481  9000323
            4096      64  1016090  4315676 20778605  8677553 11866142  5527974 13086376  10554004  12015527  6041154  7408930 22259318 12523544
            4096     128  1758645  6420447 21560926  8865630 12414943  5360658 19221033  14026607  12606249  5489116  6967243 22881911 12487133
            4096     256  1741531  3680502 18437179  9062041 12496216  5633102 18202760   8824645  18616995  5634950  6693092 20481345 12841826
            4096     512  1748977  6160296 16731373  9267351 12680688  5761565 20481345   8360824  10476771  5596402  7161842 19504720 12803544
            4096    1024  1653531  5535098 15522028  9685316 13036724  5859825 19329161   7802627  15059417  6410863  7447471 19242562 12718238
            4096    2048  1766239  6086096 11940367 10528134 13046624  5926533 19242562   6716643  14954547  5649775  8569343 17356809 13046624
            4096    4096  1919580  7087972  9641830 14573961 13980948  6449370 19616073   6068897  19683498  6572741  8883968 19796907 14475721
            8192       4  1660387  4807705  8017101  8874344  6480761  4476368  7495897   6759994   6660405  4697286  5155399  9695717  8659632
            8192       8  1836358  5880691 11820445  9236971  9492149  5497729 11783960   8943642   9492149  4594895  5622783 14222889 11442544
            8192      16  1889682  6395120 14246478  9717654 11538609  6053719 12778810  12099327  11519268  5494212  6978288 17425519 13085407
            8192      32  1893223  6345516 17390241  9942612 13236637  6434642 16155560  12298542  13236637  6000856  7334293 19737836 14323685
            8192      64  1874221  6861236 19327049  9991764 14246478  5123115 16961023  12486251  14246478  6210183  7256842 20953542 15058135
            8192     128  1825722  6623173 21173045  9991764 14920815  6692839 18405631  12490790  14785977  5760412  6512699 21277939 15395488
            8192     256  1814442  6045199 19143987  9882559 14603729  6118398 18366278   9352628  14760569  5305043  6305921 20083951 15171163
            8192     512  1852995  5988306 18953900 10064936 14554242  5996667 18210533   6158977  15313152  5413705  5810089 19978849 14817860
            8192    1024  1845531  5997714 17096049 10115308 14299840  5378116 17841747   8289830  15605254  5560902  6628284 17740415 14785977
            8192    2048  1836750  5888754 14222889 10612044 14578944  5957159 16681058   8086916  15520665  6638529  7154097 18829258 14678594
            8192    4096  1857202  4289173 12154969 11735662 14792342  6154564 17104560   6971209  12840894  6173362  9339916 18010082 14953282
            8192    8192  1621522  5978928  9905351 15058135 15084578  6450345 16512708   6491781  16512708  6638529  5472336 15313152 15198005
           16384       4  1741285  4321760  7331011  8784505  6619222  3903671  7285157   6919132   6462967  4851766  4969299 10214248  8682395
           16384       8  1832675  5337101 10901268  9460533  9164056  5303735 11199747   9670891   9377906  5443210  5044073 13676046 11355202
           16384      16  1877180  5706741 14027802  9620796 11620178  6032360  8663787   5942635   7964884  3498633  6291375 16204344 12623425
           16384      32  1859051  4814713 14386073  9067322 12402433  6395004 16615741  13074965  12780725  5881097  6258145 17558223 13827397
           16384      64  1826732  6924710 17137857  9946650 14184155  6595715 16684321  13032810  14184155  6328456  5435890 18123153 14590724
           16384     128  1748595  6809433 18725644  9340939 14643580  6452650 18854085  12910386  14759953  5870546  5845577 18771681 14775821
           16384     256  1782245  4780882  8354133  8493527 13180291  5014993 16124497   9127540  14359019  5361251  5437611 15558637 14881413
           16384     512  1812422  5196649 15769284  9631583 14111338  5392805 16704599   8705493  14855677  5430735  4743590 15502478 14881413
           16384    1024  1826149  5178244 15558637  9858182 14210553  5387732 16889348   8454862  13956577  5553625  5521940 14907239 14772645
           16384    2048  1824307  5278072 15183921 10107580 14245904  4811679 16500043   8308679  14910473  5626377  5149144 16284986 14830029
           16384    4096  1819814  5249846 12981110 10549819 14603126  5751158 16273416   8015984  14446559  6286771  5322632 15471067 14510619
           16384    8192  1804996  4861720 11943308 11482323 14458717  5855539 14949397   7249038  12731002  5883111  8179131 13584130 14320120
           16384   16384  1675806  5309472  8414486  9699557 10786622  5081746 10680999   5207675  10937705  5182931  5589764 10631426 11385303
           32768      64  1816922  6105465 15544217  9986985 14668282  6443818 14989842  13224432  14544103  5571818  5872504 15776172 14840928
           32768     128  1801915  5974098 16541360  9999337 14881100  5861734 15500390  13641846  15305337  5102463  5273172 16046943 15218902
           32768     256  1696257  5373577 15761699  9941474 15269627  5551114 16342702   8700977  15581224  4964059  5116138 14544103 12318844
           32768     512  1261952  4969264 15907644  9981183 14687092  5598372  9201361   5615757  10900235  3436677  5009656 16401210 14975143
           32768    1024  1801915  5241999 15852599 10029986 14970249  5691806 13239719   6200214  14346737  5273172  4850192 13590585 14233815
           32768    2048  1797085  5174307  9542512  9899940 14339252  5033323 14666716   7618649  14284112  5114425  5046630 14629249 14834520
           32768    4096  1691435  5052938 14384275 10279033 14902076  5429621 15296819   7984692   9086989  3703076  3735484 15574161 14853759
           32768    8192  1833379  5096975  9206909  6897189 10789845  3671127 14832919   7371829  14491962  5586085  5587220 14807350 14582682
           32768   16384  1788759  4615172  9561765  9796212 11732072  4909795  9461709   5854742  10889871  5166721  7465935 11025276 11774286
           65536      64  1838773  6159893  8665266  6390012 10328783  4324372 10348225   7003828  10850241  5562888  5730705 15111646 14586401
           65536     128  1465571  5889844 11421453  6354117 11157205  5641899 15344472  13870249  15103342  5364852  4378932 15674342 14880944
           65536     256  1785770  5838924 15322234  9926685 15065265  5543479 15237298   9168462  14820768  4939422  5120790 11628248 14962757
           65536     512  1766376  5297135 12877976  6987449 11904730  4420907 15315404   6284100  14403725  4696936  4709409 15537018 15082624
           65536    1024  1823017  5179846 15000317  9913438 15006869  5337662 15219581   8380729  15066091  4828704  4793088 15380533 15104172
           65536    2048  1826166  5413880 14213064  7081962 11891854  4229749 15041358   8802908  15065265  4972393  5001162 15355616 15129112
           65536    4096  1788256  5344200 14810387  7721114 10898855  3596334 14996225   8736043  14650930  4967899  4812136 15198543 15131611
           65536    8192  1798764  5087429 13811706 10239900 14928626  5125660 14495634   7465895  14256557  4667823  4813147 14674394 15016707
           65536   16384  1810136  4941997 10587372  8589449 11862090  4693888 11336197   6297778  10789763  5177797  5235789 10507643  9395991
          131072      64  1727445  4338836 11587026  7015161 11551237  5678544 11687282   7913593  11391587  5127228  3623279 10644939 10798411
          131072     128  1823155  5859324 13678986  9881153 15174130  5821538 14810309  12947981  15186286  5324005  5248375 14899417 14832286
          131072     256  1789914  5411951 12491382  7691602 14886103  5406363 11983306   9035080  15297848  4937550  3339852 10251893 11092775
          131072     512  1758645  5285615 14785216  9896094 14860753  5180910 15105337   8929709  14902648  4649931  3378418 15136946 15017037
          131072    1024  1758010  5137241 12254429  6198426 11059970  5146138 14534650   8586472  14395732  4749148  4709885 14877644 14831886
          131072    2048  1762976  5278560 14343524  9820258 14552349  5069078 12022615   7663297  14343898  4722427  3751016 12460522 11647663
          131072    4096  1814718  4945367 13854102  9860240 14664923  5130434 11462127   8032338  14360759  4773892  4762973 11483436 11707193
          131072    8192  1792809  5197761 13404491  9734187 14101435  5157048 11743705   7803843  12865260  4565516  3206418 12689755 14057444
          131072   16384  1771435  4746033  8460670  6914923 11089866  4665954  9456894   5139066   8903100  4511638  4479399 10777876 11103081
          262144      64  1557320  2938968  9470889  8150519 14114252  3515559  9819890  13677592  14361661  3343120  3757320 11377772 12294001
          262144     128  1526764  3237306  9606933  6296675 14893727  3230723 13277072  10294300  14046096  2760949  2554242 13529985 14341242
          262144     256  1538999  2750726 12648706  9414045 13908219  3869111 13956415   9428334  14488646  3207520  3155283 13571234 13832804
          262144     512  1481105  3085094 13613746  9512761 14228407  3321438 14034800   8628844  13768884  3033965  3164428 10175217 10844935
          262144    1024  1517108  2828792 12804403  9289961 13854592  3885806 13804322   7500345  14073423  2645646  3010976 13909099 14381385
          262144    2048  1538123  3103030 13235040  9662909 14511976  3079659 10092558   8216912  14352100  2901975  2922905 12775095 14022092
          262144    4096  1488127  3279835 11630636  7553260 13864900  3126305 13733456   8861326  14199191  3071220  2886578 13697528 14519259
          262144    8192  1567189  3289707 13637724  9607604 14195891  3123587 13835589   8055336  13873647  3366561  2889909 10538907 10573263
          262144   16384  1556425  3096066  8494582  7221807 11171650  3222542 11097008   5861098   9593939  3437372  3390019 11020926 11238335
          524288      64  1492303  2749769 12380785  9746976 14017338  2828606 12996683  14267068  14146649  2763425  2881588 13920176 14226456
          524288     128  1434115  2534076 13720929  9732611 14705663  2713115 13835311  13422280  14880605  3235885  2852492 14182232 14491970
          524288     256  1468396  2740728 14058290  9780574 14874667  2759483 13509438   9772750  14293126  2296678  2665867 14128017 14579790
          524288     512  1489991  2765726 13944539  9698828 14538054  3599269 14162594   8865213  14560001  2671490  2451217 14023595 14356204
          524288    1024  1527930  2636968 10408109  9557529 14225627  2913586 14127564   8984009  14614673  2589423  2533525 11594688 14364457
          524288    2048  1638384  2666692 14097224  9504324 14546998  3378949 14351520   8930594  14346370  2586879  2793269 14198715 14539303
          524288    4096  1543190  2709305 14108529  9630232 14475943  3377750 14260499   8901349  14479470  2772911  2459978 13774215 14439253
          524288    8192  1507791  2397074 11786029  9515717 13999668  2769028 13441560   6910803  13915683  2381222  2467261 13549894 14023237
          524288   16384  1621185  2893246 11382472  8406765 11521788  3389564 11501600   5930790  11610115  2720691  2566590 10873506 11469386

